X,Y,objectid,facility,licensee,expires,hgenlic,rehabhlic,psylic,salic,detoxlic,hoslic,rsrchlic,nfgenlic,othrhlic,alzlic,hivlic,tbilic,venlic,othnflic,rehabnlic,haalzlic,hahivlic,hagenlic,orheart_hl,orcsect_hl,orother_hl,oramsu_hl,orshare_hl,orendo_hl,altfacname,hltype,stype,fcounty,fcity,fstate,fzip,faddr1,fphone,licno
458186.754900001,171439.614999998,1,Carolinas HealthCare-Harrisburg, , ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harrisburg Medical,ED,HL,Cabarrus,Harrisburg,NC,28215,9592 Rocky River Road,904-403-9300, 
722755.4005,63629.5810000002,2,New Hanover Regional Medical Center-North, , ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NHRMC North,ED,HL,New Hanover,Wilmington,NC,28111,151 Scotts Hill Medical Dr,910-662-9000, 
443409.280199997,156439.008099999,3,Carolinas HealthCare-SouthPark, , ,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SouthPark,ED,HL,Mecklenburg,Charlotte,NC,28211,6965 Fairview Road,704-631-1300, 
599693.785499997,142181.160399999,4,Cape Fear Valley-Hoke Hospital,"Hoke Healthcare, LLC", ,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hoke Hospital,ED,HL,Hoke,Raeford,NC,28376,210 Medical Pavilion Dr,910-904-8000,H0288
564349.498499997,256552.318999998,5,Cone Health-Alamance Regional,"Alamance Regional Medical Center, Inc.", ,182,0,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,9,4,Alamance Regional Medical Center,Hospital,HL,Alamance,Burlington,NC,272160202,1240 Huffman Mill Rd,(336)538-7450,H0272
294440.156099997,179699.171500001,6,UNC Health Care-Pardee,Henderson County Hospital Corporation, ,193,0,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Margaret R Pardee Memorial Hospital,Hospital,HL,Henderson,Hendersonville,NC,287913518,800 North Justice Street,(828)696-1000,H0161
659037.044399999,286502.8068,7,Duke LifePoint-Maria Parham Medical Center,"Maria Parham Medical Center, Inc.", ,91,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maria Parham Medical Center,Hospital,HL,Vance,Henderson,NC,27536,566 Ruin Creek Rd,(252)436-1100,H0267
783740.802199997,233516.217399999,8,Martin General Hospital,Williamston Hospital Corporation, ,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Martin General Hospital,Hospital,HL,Martin,Williamston,NC,27892,310 South McCaskey Rd,(252)809-6179,H0078
492854.177000001,259122.365499999,9,Novant Health-Medical Park Hospital,"Medical Park Hospital, Inc.", ,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Novant - Medical Park Hospital,S,HL,Forsyth,Winston Salem,NC,27103,1950 South Hawthorne Rd,(336)718-0600,H0229
288045.209700003,208343.372200001,10,Mission Health - Mission Hospital,"Mission Hospital, Inc.", ,701,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,9,30,6,Mission Hospital,Hospital,HL,Buncombe,Asheville,NC,28801,509 Biltmore Ave and 428 Biltmore *,(828)213-1111,H0036
543342.543899998,304744.451900002,11,Morehead Memorial Hospital,Morehead Memorial Hospital, ,108,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,13,0,1,0,0,5,2,Morehead Memorial Hospital,Hospital,HL,Rockingham,Eden,NC,27288,117 East Kings Hwy,(336)623-9711,H0072
