COUNTY NAME,AGED,BLIND,DISABLED,TANF (AFDC) UNDER 21,TANF (AFDC) 21 AND OVER,OTHER CHILD,PREGNANT WOMEN,FAMILY PLANNING,INFANTS AND CHILDREN,MCHIP,MQBQ,MQBB,MQBE,BCC,REFUGEES,DOCUMENTED NON-CITIZENS,EMERGENCY SERVICES ONLY,COVID-19 MEDICAID,MEDICAID EXPANSION,COUNTY TOTAL
ALAMANCE,"2,958",16,"5,053","10,498","6,627",452,725,"3,475","11,470","6,771",211,"1,058",476,37,#,#,#,#,"11,059","60,888"
ALEXANDER,465,#,857,"1,359",618,173,196,682,"1,771","1,396",62,261,141,#,#,#,#,#,"2,140","10,123"
ALLEGHANY,234,#,358,412,155,66,64,207,603,404,23,99,49,#,#,#,#,#,640,"3,315"
ANSON,570,#,"1,145","1,586",568,65,128,647,"1,445",887,73,304,116,#,#,#,#,#,"1,892","9,430"
ASHE,639,#,799,709,349,108,110,391,"1,266",830,57,298,135,#,#,#,#,#,"1,476","7,171"
AVERY,350,#,376,490,274,131,72,263,845,568,28,114,45,#,#,#,#,#,"1,074","4,634"
BEAUFORT,"1,189",#,"1,874","2,097",843,292,220,734,"2,547","1,440",56,417,196,11,#,#,#,#,"3,167","15,091"
BERTIE,707,#,"1,054",917,445,34,74,525,904,591,77,249,122,#,#,#,#,#,"1,282","6,988"
BLADEN,"1,021",#,"1,694","2,066","1,057",110,145,884,"2,149","1,298",68,290,175,#,#,#,#,#,"2,793","13,759"
BRUNSWICK,"1,562",#,"3,069","4,905","2,463",425,541,"2,385","6,126","4,031",135,516,304,#,#,#,#,#,"8,684","35,160"
BUNCOMBE,"4,003",20,"6,200","7,797","3,303",919,"1,048","2,683","10,995","7,518",314,"1,172",661,#,#,#,#,#,"15,825","62,468"
BURKE,"1,462",11,"2,699","3,861","1,588",514,484,"1,820","5,003","3,514",167,661,388,#,#,#,#,#,"6,907","29,080"
CABARRUS,"2,223",15,"4,261","9,328","3,197",587,906,"3,056","11,222","7,668",158,701,409,#,#,#,#,#,"11,478","55,211"
CALDWELL,"1,601",#,"2,724","3,857","1,593",487,497,"1,667","4,291","3,060",155,874,431,17,#,#,#,#,"5,958","27,221"
CAMDEN,87,#,156,228,98,21,31,149,261,227,#,45,19,#,#,#,#,#,330,"1,663"
CARTERET,"1,002",#,"1,448","1,723",795,220,200,"1,261","2,357","1,584",90,355,166,11,#,#,#,#,"3,870","15,085"
CASWELL,522,#,775,899,418,76,112,463,966,686,42,217,100,#,#,#,#,#,"1,268","6,554"
CATAWBA,"2,221",20,"3,771","5,995","2,630",653,"1,005","2,796","8,496","6,695",222,930,570,#,#,#,#,#,"9,602","45,613"
CHATHAM,775,#,"1,017","1,431",533,220,150,716,"2,745","1,884",78,280,176,#,#,#,#,#,"2,516","12,527"
CHEROKEE,675,#,906,"1,165",464,120,171,622,"1,544",944,81,295,154,#,#,#,#,#,"2,195","9,339"
CHOWAN,423,#,528,581,249,33,61,291,681,452,18,100,43,#,#,#,#,#,790,"4,253"
CLAY,252,#,288,451,314,57,50,195,625,392,22,72,57,#,#,#,#,#,760,"3,537"
CLEVELAND,"2,051",24,"3,998","6,289","2,582",560,546,"2,020","5,804","3,929",175,787,388,#,#,#,#,#,"7,219","36,381"
COLUMBUS,"1,545",#,"2,667","3,184","1,246",195,333,"1,208","3,606","2,056",117,493,227,#,#,#,#,#,"4,187","21,072"
CRAVEN,"1,552",15,"2,791","3,819","1,654",231,478,"1,938","4,999","3,323",122,465,220,#,#,#,#,#,"6,256","27,871"
CUMBERLAND,"6,944",70,"16,065","26,935","17,459","1,627","1,760","6,215","22,118","10,714",383,"1,677",815,19,#,#,#,#,"28,516","141,319"
CURRITUCK,228,#,426,678,387,44,92,296,902,644,36,76,65,#,#,#,#,#,"1,095","4,973"
DARE,292,#,399,795,284,103,134,428,"1,424","1,015",38,92,55,#,#,#,#,#,"1,556","6,620"
DAVIDSON,"2,527",27,"4,529","8,737","3,877",633,868,"2,763","9,048","6,420",225,"1,156",635,#,#,#,#,#,"11,949","53,398"
DAVIE,516,#,911,"1,339",521,172,189,642,"1,796","1,393",52,205,148,#,#,#,#,#,"2,008","9,899"
DUPLIN,"1,222",#,"1,901","3,508","1,256",128,327,861,"4,928","2,651",86,335,176,#,#,#,#,#,"3,690","21,083"
DURHAM,"3,794",40,"7,368","16,344","4,525",639,"1,073","2,751","16,286","7,870",211,742,331,#,#,#,#,#,"17,072","79,054"
EDGECOMBE,"1,979",16,"3,480","5,213","2,121",164,240,"1,319","3,423","1,898",135,615,293,#,#,#,#,#,"5,479","26,382"
FORSYTH,"5,903",69,"11,075","20,827","7,708",891,"1,836","4,274","23,303","13,194",421,"1,737",946,18,#,#,#,#,"25,309","117,511"
FRANKLIN,"1,005",#,"1,731","2,991","1,071",196,357,"1,076","3,967","2,570",117,385,187,#,#,#,#,#,"3,561","19,220"
GASTON,"3,623",25,"6,694","12,666","5,346",757,"1,278","4,178","12,960","8,411",341,"1,346",671,14,#,#,#,#,"16,436","74,746"
GATES,212,#,301,343,158,16,49,173,351,325,14,62,33,#,#,#,#,#,439,"2,480"
GRAHAM,221,#,303,407,172,128,48,244,508,379,14,99,36,#,#,#,#,#,805,"3,365"
GRANVILLE,926,#,"1,444","2,619","1,693",115,203,"1,046","3,276","1,900",72,340,164,#,#,#,#,#,"3,003","16,810"
GREENE,412,#,585,961,269,55,93,393,"1,252",753,15,121,65,#,#,#,#,#,"1,178","6,157"
GUILFORD,"8,606",71,"14,707","33,586","18,025","1,964","2,524","7,930","33,878","17,930",685,"2,327","1,196",70,#,#,#,#,"41,678","185,178"
HALIFAX,"1,930",11,"3,146","3,374","1,334",65,255,"1,233","3,066","1,722",105,613,299,#,#,#,#,#,"3,871","21,028"
HARNETT,"1,827",19,"3,432","7,023","3,241",365,668,"2,276","8,100","5,013",162,644,379,#,#,#,#,#,"8,360","41,512"
HAYWOOD,"1,171",#,"1,885","2,659","2,240",267,192,"1,264","3,016","1,949",97,376,234,#,#,#,#,#,"4,154","19,528"
HENDERSON,"1,534",#,"2,119","2,727",998,462,423,"1,162","5,126","3,753",129,457,249,22,#,#,#,#,"4,875","24,045"
HERTFORD,853,#,"1,246","1,567",804,28,80,493,"1,079",635,52,244,101,#,#,#,#,#,"2,000","9,191"
HOKE,944,#,"1,767","3,829","1,733",190,239,"1,027","3,616","1,961",72,274,129,#,#,#,#,#,"4,134","19,924"
HYDE,122,#,111,220,69,11,#,77,181,123,12,52,28,#,#,#,#,#,258,"1,274"
IREDELL,"1,911",21,"3,851","6,965","2,936",497,963,"2,783","8,705","6,475",193,824,433,#,#,#,#,#,"9,134","45,702"
JACKSON,643,#,920,"1,769",728,160,206,530,"1,899","1,313",89,209,96,#,#,#,#,#,"2,926","11,500"
JOHNSTON,"2,893",26,"5,348","10,538","4,426",597,967,"3,207","13,131","8,691",215,851,433,14,#,#,#,#,"12,145","63,489"
JONES,288,#,326,437,159,39,33,208,449,324,17,84,46,#,#,#,#,#,620,"3,032"
LEE,989,#,"1,826","2,622","1,100",117,336,975,"4,231","2,970",93,310,166,#,#,#,#,#,"3,545","19,290"
LENOIR,"1,650",15,"2,653","4,503","1,847",178,227,"1,148","4,093","2,234",122,568,263,#,#,#,#,#,"5,271","24,779"
LINCOLN,"1,041",#,"1,897","3,288","1,291",265,377,"1,265","3,547","2,823",97,445,231,#,#,#,#,#,"4,357","20,935"
MACON,733,#,915,"1,115",535,205,182,676,"2,122","1,425",48,228,131,#,#,#,#,#,"2,143","10,468"
MADISON,523,#,634,940,455,82,78,301,938,654,34,149,108,#,#,#,#,#,"1,513","6,419"
MARTIN,738,#,"1,058","1,251",522,69,134,527,"1,315",759,89,205,118,#,#,#,#,#,"1,599","8,395"
MCDOWELL,893,#,"1,682","2,005","1,075",293,223,"1,026","2,523","1,711",61,423,253,#,#,#,#,#,"3,745","15,922"
MECKLENBURG,"15,025",144,"23,970","64,906","42,228","1,829","3,642","13,003","73,792","31,069",865,"3,171","1,478",78,#,#,#,#,"81,665","356,876"
MITCHELL,368,#,453,503,238,115,44,283,602,462,37,142,91,#,#,#,#,#,889,"4,233"
MONTGOMERY,562,#,836,"1,152",479,60,185,546,"1,760","1,295",62,230,131,#,#,#,#,#,"1,739","9,044"
MOORE,"1,140",#,"1,783","3,318","1,524",203,310,"1,186","3,888","2,101",137,415,207,#,#,#,#,#,"4,697","20,918"
NASH,"2,037",17,"3,554","5,301","2,007",235,515,"1,600","5,786","3,627",142,722,355,#,#,#,#,#,"6,527","32,433"
NEW HANOVER,"2,574",20,"4,851","6,286","2,422",641,689,"2,914","8,218","5,076",171,758,394,#,#,#,#,#,"12,496","47,519"
NORTHAMPTON,613,#,838,"1,171",555,24,80,406,863,552,57,191,84,#,#,#,#,#,"1,291","6,731"
ONSLOW,"2,056",29,"4,431","8,095","4,227",433,"1,059","3,170","9,819","6,012",239,695,396,19,#,#,#,#,"11,742","52,423"
ORANGE,"1,180",#,"2,130","2,792","1,079",233,275,"1,113","3,904","2,368",63,291,160,#,#,#,#,#,"4,525","20,120"
PAMLICO,268,#,301,563,216,41,58,214,517,278,18,79,35,#,#,#,#,#,803,"3,392"
