"ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","AREA_SQMI","E_TOTPOP","M_TOTPOP","E_HU","M_HU","E_HH","M_HH","E_POV150","M_POV150","E_UNEMP","M_UNEMP","E_HBURD","M_HBURD","E_NOHSDP","M_NOHSDP","E_UNINSUR","M_UNINSUR","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_LIMENG","M_LIMENG","E_MINRTY","M_MINRTY","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV150","MP_POV150","EP_UNEMP","MP_UNEMP","EP_HBURD","MP_HBURD","EP_NOHSDP","MP_NOHSDP","EP_UNINSUR","MP_UNINSUR","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_LIMENG","MP_LIMENG","EP_MINRTY","MP_MINRTY","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV150","EPL_UNEMP","EPL_HBURD","EPL_NOHSDP","EPL_UNINSUR","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","EPL_LIMENG","SPL_THEME2","RPL_THEME2","EPL_MINRTY","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV150","F_UNEMP","F_HBURD","F_NOHSDP","F_UNINSUR","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_LIMENG","F_THEME2","F_MINRTY","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","E_DAYPOP","E_NOINT","M_NOINT","E_AFAM","M_AFAM","E_HISP","M_HISP","E_ASIAN","M_ASIAN","E_AIAN","M_AIAN","E_NHPI","M_NHPI","E_TWOMORE","M_TWOMORE","E_OTHERRACE","M_OTHERRACE","EP_NOINT","MP_NOINT","EP_AFAM","MP_AFAM","EP_HISP","MP_HISP","EP_ASIAN","MP_ASIAN","EP_AIAN","MP_AIAN","EP_NHPI","MP_NHPI","EP_TWOMORE","MP_TWOMORE","EP_OTHERRACE","MP_OTHERRACE","GeoLevel","Comparison"
"37","North Carolina","NC","37001","Alamance County","37001","Alamance County, North Carolina","423.451987782528","171779","0","74055","83","67370","685","39261","2077","4323","578","16426","1070","13538","1005","16631","1169","29084","76","37805","18","21818","1124","4282","571","4582","549","66607","371","5967","697","8442","561","1150","237","3343","482","4913","110","23.5","1.2","5.0","0.7","24.4","1.6","11.7","0.9","9.7","0.7","16.9","0.1","22.0","0.1","12.8","0.7","6.3","0.8","2.8","0.3","38.8","0.2","8.0","0.9","11.4","0.8","1.7","0.4","5.0","0.7","2.9","0.1","0.3636","0.3636","0.5455","0.4242","0.2323","1.9292","0.3232","0.2323","0.697","0.1313","0.4747","0.9091","2.4444","0.5051","0.596","0.596","0.596","0.8586","0.1616","0.3232","0.4545","0.6465","2.4444","0.4444","7.414","0.4141","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","167722","9354","756","33408","726","23200","0","2748","257","183","64","57","33","5958","800","1053","500","13.9","1.1","19.4","0.4","13.5","0.0","1.6","0.1","0.1","0.1","0.0","0.1","3.5","0.5","0.6","0.3","County","State"
"37","North Carolina","NC","37003","Alexander County","37003","Alexander County, North Carolina","259.98494194487","36505","0","16035","69","13761","442","7547","1098","982","380","2265","368","3695","519","3213","619","7430","101","7180","100","6042","711","632","211","175","135","5077","46","104","80","4158","499","401","186","387","142","1294","83","21.5","3.1","5.6","2.1","16.5","2.6","14.0","1.9","9.1","1.8","20.4","0.3","19.7","0.3","17.1","2.0","4.6","1.5","0.5","0.4","13.9","0.1","0.6","0.5","25.9","3.1","2.9","1.3","2.8","1.0","3.5","0.2","0.2727","0.5556","0.0","0.6162","0.1616","1.6061","0.202","0.4949","0.3838","0.5152","0.1717","0.1414","1.707","0.0707","0.1515","0.1515","0.1515","0.0808","0.8586","0.8182","0.0606","0.7273","2.5455","0.5354","6.0101","0.2626","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27580","2255","370","1597","342","1872","0","393","76","75","66","0","29","1080","336","60","33","16.4","2.6","4.4","0.9","5.1","0.0","1.1","0.2","0.2","0.2","0.0","0.1","3.0","0.9","0.2","0.1","County","State"
"37","North Carolina","NC","37005","Alleghany County","37005","Alleghany County, North Carolina","234.83506654856","10989","0","7726","48","4937","237","3702","508","247","135","1056","224","1506","336","1459","283","3079","108","1792","39","1891","273","168","82","160","127","1511","12","106","65","1203","224","156","78","278","109","184","12","34.0","4.7","5.3","2.9","21.4","4.4","17.7","3.9","13.4","2.6","28.0","1.0","16.3","0.4","17.4","2.5","3.4","1.7","1.5","1.2","13.8","0.1","1.3","0.8","15.6","2.9","3.2","1.6","5.6","2.2","1.7","0.1","0.8384","0.4848","0.2828","0.8687","0.8384","3.3131","0.7879","0.9192","0.0707","0.5758","0.0505","0.5859","2.2021","0.2727","0.1414","0.1414","0.1414","0.2323","0.3636","0.899","0.5657","0.4141","2.4747","0.4545","8.1313","0.5758","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","9716","999","233","202","96","1103","0","33","36","32","25","0","21","141","91","0","21","20.2","4.4","1.8","0.9","10.0","0.0","0.3","0.3","0.3","0.2","0.0","0.4","1.3","0.8","0.0","0.4","County","State"
"37","North Carolina","NC","37007","Anson County","37007","Anson County, North Carolina","531.460963196382","22200","0","9963","259","8266","391","7033","868","599","202","2475","356","2765","352","2625","471","4339","86","4438","60","4168","442","726","182","134","134","12385","41","90","74","2376","307","151","69","588","161","1962","623","34.8","4.2","6.4","2.1","29.9","4.1","17.5","2.2","13.0","2.2","19.5","0.4","20.0","0.3","20.6","2.1","8.7","2.2","0.6","0.6","55.8","0.2","0.9","0.7","23.8","2.9","1.8","0.8","7.1","1.9","8.8","2.8","0.8586","0.7172","0.8889","0.8586","0.8283","4.1516","0.9596","0.4444","0.4141","0.9091","0.8788","0.1717","2.8181","0.7677","0.8687","0.8687","0.8687","0.1313","0.7677","0.3535","0.7778","0.9293","2.9596","0.7677","10.798","0.899","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","2","19694","1313","231","10491","173","1012","0","335","49","40","34","0","25","474","172","33","41","15.9","2.8","47.3","0.8","4.6","0.0","1.5","0.2","0.2","0.2","0.0","0.2","2.1","0.8","0.1","0.2","County","State"
"37","North Carolina","NC","37009","Ashe County","37009","Ashe County, North Carolina","426.263881389476","26759","0","17026","53","11823","537","6489","830","629","191","2113","343","2668","393","2917","515","7120","121","4523","82","4740","538","600","218","247","149","2160","24","386","118","2925","416","135","82","495","147","430","11","24.5","3.1","5.1","1.5","17.9","2.8","13.0","1.9","11.0","1.9","26.6","0.5","16.9","0.3","17.9","2.0","5.0","1.8","1.0","0.6","8.1","0.1","2.3","0.7","17.2","2.4","1.2","0.7","4.2","1.2","1.6","0.0","0.4242","0.4141","0.0202","0.5051","0.5051","1.8687","0.3131","0.899","0.101","0.6263","0.2323","0.3434","2.202","0.2424","0.0202","0.0202","0.0202","0.4646","0.4444","0.1313","0.2626","0.3838","1.6867","0.1616","5.7776","0.1717","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21382","2363","284","263","74","1406","0","117","44","63","47","8","16","289","109","14","22","20.0","2.3","1.0","0.3","5.3","0.0","0.4","0.2","0.2","0.2","0.0","0.1","1.1","0.4","0.1","0.1","County","State"
"37","North Carolina","NC","37011","Avery County","37011","Avery County, North Carolina","247.337765913872","17679","0","13915","65","6481","330","3796","501","353","108","1228","226","1777","270","2252","367","4007","67","2455","36","2926","337","310","109","148","134","2215","173","1119","137","1646","258","158","92","290","118","3028","101","25.8","3.4","5.0","1.5","18.9","3.4","13.1","2.0","14.6","2.4","22.7","0.4","13.9","0.2","19.0","2.2","4.8","1.7","0.9","0.8","12.5","1.0","8.0","1.0","11.8","1.9","2.4","1.4","4.5","1.8","17.1","0.6","0.5354","0.3636","0.0909","0.5152","0.9091","2.4142","0.4949","0.697","0.0101","0.7576","0.2121","0.3131","1.9899","0.1515","0.1111","0.1111","0.1111","0.8586","0.1818","0.6162","0.3434","0.9899","2.9899","0.7879","7.5051","0.4242","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","18452","1178","235","644","143","904","0","82","41","146","103","4","8","428","217","7","3","18.2","3.3","3.6","0.8","5.1","0.0","0.5","0.2","0.8","0.6","0.0","0.1","2.4","1.2","0.0","0.1","County","State"
"37","North Carolina","NC","37013","Beaufort County","37013","Beaufort County, North Carolina","832.735690859248","44711","0","24299","45","18972","511","12168","1118","1146","235","5432","594","4317","442","4996","649","10927","105","8748","34","7565","533","1325","288","422","239","15349","87","533","150","6240","496","280","165","1103","261","528","10","27.6","2.5","5.6","1.2","28.6","3.0","13.2","1.4","11.3","1.5","24.4","0.2","19.6","0.1","17.1","1.2","7.0","1.5","1.0","0.6","34.3","0.2","2.2","0.6","25.7","2.0","1.4","0.9","5.8","1.4","1.2","0.0","0.6263","0.5556","0.798","0.5354","0.596","3.1113","0.7576","0.798","0.3434","0.5152","0.6364","0.3434","2.6364","0.6465","0.5051","0.5051","0.5051","0.4444","0.8384","0.2121","0.596","0.2222","2.3131","0.3939","8.5659","0.6263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43553","3595","416","10344","306","3734","0","109","99","40","44","0","29","1047","328","75","72","18.9","2.1","23.1","0.7","8.4","0.0","0.2","0.2","0.1","0.1","0.0","0.1","2.3","0.7","0.2","0.2","County","State"
"37","North Carolina","NC","37015","Bertie County","37015","Bertie County, North Carolina","699.176122543976","17818","0","9008","39","6984","336","5845","591","431","154","2299","375","2613","402","1957","356","4253","51","3038","20","3852","432","549","175","4","78","11748","72","33","39","2622","347","131","111","790","233","1522","79","35.8","3.6","6.4","2.3","32.9","5.1","19.5","3.0","11.9","2.2","23.9","0.3","17.1","0.1","23.5","2.6","7.9","2.5","0.0","0.5","65.9","0.4","0.4","0.4","29.1","3.8","1.9","1.6","11.3","3.3","8.5","0.4","0.9192","0.7172","0.9596","0.9596","0.697","4.2526","0.9798","0.7677","0.1111","0.9899","0.798","0.0","2.6667","0.6667","0.9798","0.9798","0.9798","0.0505","0.899","0.3939","0.9798","0.9192","3.2424","0.8687","11.1415","0.9192","1","0","1","1","0","3","0","0","1","0","0","1","1","1","0","0","0","1","1","2","7","16210","2470","344","10925","177","258","136","136","19","51","43","1","5","352","138","25","32","35.4","4.5","61.3","1.0","1.4","0.8","0.8","0.1","0.3","0.2","0.0","0.1","2.0","0.8","0.1","0.2","County","State"
"37","North Carolina","NC","37017","Bladen County","37017","Bladen County, North Carolina","875.03127923708","29807","0","15348","53","11386","422","10310","1018","635","203","3171","449","2525","407","2937","516","6801","72","6045","0","4379","542","755","241","440","253","13542","146","205","104","4681","408","163","108","896","249","458","8","35.0","3.5","5.5","1.8","27.8","3.8","11.8","1.9","10.0","1.7","22.8","0.2","20.3","0.0","14.8","1.8","6.6","2.1","1.5","0.9","45.4","0.5","1.4","0.7","30.5","2.7","1.4","0.9","7.9","2.2","1.5","0.0","0.8687","0.5253","0.7172","0.4444","0.2727","2.8283","0.6061","0.7071","0.4848","0.2222","0.5253","0.5859","2.5253","0.5657","0.7374","0.7374","0.7374","0.2828","0.9091","0.2121","0.8283","0.3232","2.5555","0.5758","8.6465","0.6364","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","29385","2236","309","10050","138","2411","0","93","67","796","33","0","25","192","169","0","25","19.6","2.5","33.7","0.5","8.1","0.0","0.3","0.2","2.7","0.1","0.0","0.1","0.6","0.6","0.0","0.1","County","State"
"37","North Carolina","NC","37019","Brunswick County","37019","Brunswick County, North Carolina","850.068699218256","139721","0","90454","61","60915","851","22619","1737","2969","604","14213","926","7227","836","12137","1080","45749","84","20223","0","20661","1145","1957","413","598","200","25953","695","3650","447","16967","1047","893","254","1432","342","935","24","16.3","1.3","5.0","1.0","23.3","1.5","6.5","0.7","8.8","0.8","32.7","0.1","14.5","0.0","14.9","0.8","3.2","0.7","0.4","0.1","18.6","0.5","4.0","0.5","18.8","1.2","1.5","0.4","2.4","0.6","0.7","0.0","0.0606","0.3636","0.4545","0.0303","0.1212","1.0302","0.101","1.0","0.0202","0.2626","0.0303","0.0909","1.404","0.0202","0.2929","0.2929","0.2929","0.7071","0.5051","0.2727","0.0404","0.0404","1.5657","0.0909","4.2928","0.0101","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","123819","4403","566","11952","582","7114","0","833","133","327","117","44","68","5338","924","345","269","7.2","0.9","8.6","0.4","5.1","0.0","0.6","0.1","0.2","0.1","0.0","0.1","3.8","0.7","0.2","0.2","County","State"
